angle,stiffness,camera
178,-2,58.53002737341847
70,12,114.31606874481517
29,11,139.27085493775087
45,5,138.00741894789374
58,18,126.86275460707361
83,1,113.92341469068252
54,0,128.73740391864715
67,-9,124.42946619359222
69,3,122.39135969272564
92,14,107.46397593511155
106,6,100.7482829338818
96,15,104.88553985777116
36,8,138.39619266758112
166,12,62.24952120775832
11,-6,147.94256007930676
139,-1,80.35745326456582
170,3,59.97990670873525
146,6,75.35055574561184
75,7,113.68438751298578
20,-3,146.18040231320057
91,0,109.48640938665567
115,5,95.01897747107898
147,-2,76.35933884885083
164,1,65.01073955345502
148,9,74.43325969721427
43,0,131.44153100974668
15,-1,147.4164539381391
154,13,70.11337196122673
148,10,73.91862346318403
118,10,92.34707610269642
140,15,79.22859798829887
46,7,123.39827772752567
101,-9,104.45861776448001
81,-5,113.44789973351375
124,9,89.21510039209315
161,13,65.30685343087698
161,0,66.49032079892045
130,15,84.21208098682489
132,18,83.01583112596619
108,2,98.67185034267281
165,-3,64.11131632493128
105,-4,101.93149829560116
143,14,77.30199114990361
156,8,69.57591127101736
118,7,92.81931065332232
67,1,118.14586792516586
104,-3,102.09092961841175
82,16,111.2984887151368
169,8,60.71946177384816
164,4,64.39540693520651
106,6,99.97424764031231
59,16,117.87384430329104
115,18,93.56240103691323
92,-6,109.46796582020143
6,0,148.03131068969995
128,12,86.63525647564461
59,15,118.61603975621746
97,9,105.35312048504285
103,17,100.66104688311319
19,11,145.5246612018084
46,0,142.52844274849724
47,10,140.13797455682337
81,14,112.42442972634858
109,6,99.27329799572087
96,19,104.29703508320854
89,14,108.79098178429555
108,-9,101.03558654851483
108,3,99.829331030636
112,8,97.57103830819234
105,7,101.05748860383682
28,6,144.72905239781963
64,0,124.41311429421799
111,-4,98.06192018144586
148,6,74.92283290507869
61,1,119.371845228022
3,2,148.27777509580278
140,17,78.62922500704633
97,15,104.65438286043099
120,-2,92.75535002139306
167,0,62.203501630714996
108,18,97.30817555973005
60,-3,121.22546463473647
118,12,92.49142381521926
99,2,104.29289691245633
60,-9,121.26621263975265
90,-7,110.87615742460396
142,12,77.54879685681847
170,8,59.041910145735436
31,9,141.9469143018984
50,9,132.37602531929195
143,5,78.27829234412167
136,9,82.13839338784675
67,-9,120.79248742888849
66,12,116.49714250753563
78,15,113.1774482974133
65,13,116.8742235460464
127,-7,88.88490128465584
156,1,69.95970099724236
96,0,106.98513652374699
29,9,140.1037206082813
136,-2,83.3459587044121
173,-4,59.69707133608507
125,16,88.14548029411858
97,-6,107.4511176968166
36,18,123.55486405789567
109,0,99.00826685269413
88,10,110.234498308019
68,11,115.86436980654479
57,-4,123.01734252185766
157,17,67.79491755404057
60,15,117.98951945063985
5,-4,147.9922856722491
171,0,60.03777865722102
135,15,81.40012451620372
96,3,105.94336290562245
108,-1,100.1936764357509
46,16,121.07634764443573
146,-7,77.04854024142114
161,1,66.53021268197145
154,19,69.23442937992957
175,0,58.25306783749553
74,3,115.23005910090052
33,8,126.02542628990962
66,15,115.24381239428517
37,15,125.65398668083338
18,-8,147.1953172639073
140,6,79.06285300179019
90,7,108.68900957310137
119,5,92.37239206387041
48,14,121.68636768785659
14,13,97.37376636133021
57,-4,128.5652608489633
98,19,103.12569045244273
97,-8,106.93784719338062
82,3,113.48043400631154
160,0,66.30974111898028
98,2,103.10216171467938
110,2,97.1522450752827
127,-6,87.49526542681367
93,12,105.71089383482288
173,-3,57.3184341539935
135,3,81.23076666292859
115,-9,95.07209203007207
93,3,109.38649828705688
102,-7,104.65075854032554
48,-4,132.32666202874128
162,-5,64.62409178025766
16,1,148.80462573631198
139,-2,78.57648580767956
49,4,131.2653159309227
160,18,63.46085994645101
158,-8,68.42391458944003
87,-1,113.05834034586807
26,13,141.3456700790574
123,0,91.67675470881167
69,18,115.89072744934673
55,1,124.34011940058141
125,8,88.22347163098502
173,2,56.66331349367768
100,-3,106.46936815032987
95,11,107.12804747359668
101,-6,105.94503070921274
2,0,149.98903334343697
56,16,129.78102394207394
120,13,92.95019525057431
144,16,76.49600647905096
106,18,99.8505719457001
29,6,127.98974622019142
120,11,91.1023598262737
100,-7,105.73727017810054
44,18,123.08944605292203
174,-3,57.23481035366451
96,18,105.3662094360357
54,5,123.58349655168654
161,7,64.20377415148417
98,3,106.40090028624002
69,-5,120.34739249511742
9,-2,149.2065443730987
127,10,86.90797151976925
105,5,101.65929265352298
177,-2,54.190489047195626
88,0,112.85442265468143
119,2,93.77473971681344
90,0,111.91810678058388
53,6,123.85254316300644
52,17,123.28437751292678
155,-9,71.4827386218125
44,9,125.02461783178327
34,14,126.52557020132676
125,11,88.34895157702408
67,-1,120.58815236273568
51,4,123.9930491936471
54,16,122.80643002093741
66,11,118.2547409868906
132,8,84.10790532171279
40,15,125.83000066120294
79,-3,115.60800793065347
94,5,108.44516237881957
55,-4,124.83907702082692
117,12,93.30241490479214
95,-3,108.43608605009652
131,18,84.08254112212776
171,9,57.59780164629846
5,4,149.7575433440172
75,1,116.8767313890341
72,19,116.66726308819364
163,-8,65.84991481528844
122,9,90.96282585976132
164,1,64.15186375532512
48,18,122.67083790721061
84,-5,114.75819732426694
102,-2,105.23872271566356
23,-7,148.03310284126897
85,-7,115.07076269480889
71,-3,119.04454484463919
46,14,130.16834360127865
117,6,93.86895583236546
42,9,135.14899979789368
52,14,130.29561603788147
34,16,133.17319369161496
